nameWithOwner,createdAt,age,updatedAt,timeSinceLastUpdate,primaryLanguage,pullRequests,issues,closedIssues,releases
DopplerHQ/awesome-interview-questions,2015-11-28T09:48:17Z,88,2023-03-08T01:33:14Z,-2.1825661130555556,None,175,32,29,0
vitejs/vite,2020-04-21T05:03:57Z,35,2023-03-08T02:22:33Z,-3.0045105575,TypeScript,3042,5406,4933,267
scikit-learn/scikit-learn,2010-08-17T09:43:38Z,151,2023-03-08T02:19:48Z,-2.958677224166667,Python,10310,9984,8438,32
awesomedata/awesome-public-datasets,2014-11-20T06:20:50Z,100,2023-03-08T00:37:53Z,-1.2600661130555555,None,188,109,47,0
ElemeFE/element,2016-09-03T06:19:26Z,78,2023-03-08T01:05:53Z,-1.7267327797222223,Vue,3221,17388,15184,144
lydiahallie/javascript-questions,2019-06-12T08:26:27Z,45,2023-03-08T02:00:56Z,-2.644232779722222,None,304,212,210,0
Developer-Y/cs-video-courses,2016-10-21T17:02:11Z,77,2023-03-08T02:18:31Z,-2.9372883352777777,None,125,113,101,0
anuraghazra/github-readme-stats,2020-07-09T10:34:22Z,32,2023-03-08T02:05:13Z,-2.715621668611111,JavaScript,492,940,843,0
rails/rails,2008-04-11T02:19:47Z,179,2023-03-07T14:28:18Z,8.899656109166667,Ruby,20994,16178,15820,91
strapi/strapi,2015-09-30T15:34:48Z,90,2023-03-08T01:46:28Z,-2.403121668611111,JavaScript,5885,7471,7196,267
Anduin2017/HowToCook,2020-02-29T10:43:49Z,37,2023-03-08T02:05:36Z,-2.7220105575,HTML,458,580,249,1
python/cpython,2017-02-10T19:23:51Z,73,2023-03-08T00:21:14Z,-0.9825661130555555,Python,32052,62500,55710,0
spring-projects/spring-framework,2010-12-08T04:04:45Z,147,2023-03-08T02:06:58Z,-2.7447883352777778,Java,751,23141,21934,249
sdmg15/Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,72,2023-03-07T22:31:17Z,0.8499338869444445,None,372,107,70,0
apache/superset,2015-07-21T18:55:34Z,92,2023-03-08T02:02:00Z,-2.6620105575,TypeScript,10305,8927,7856,116
azl397985856/leetcode,2018-03-30T09:13:51Z,60,2023-03-08T01:57:06Z,-2.5803438908333334,JavaScript,252,246,241,40
TheAlgorithms/Java,2016-07-16T10:21:02Z,80,2023-03-08T01:37:10Z,-2.248121668611111,Java,974,802,797,0
Semantic-Org/Semantic-UI,2013-04-08T23:32:04Z,119,2023-03-07T20:15:59Z,3.1049338869444445,JavaScript,356,6205,5251,154
hoppscotch/hoppscotch,2019-08-21T13:15:24Z,43,2023-03-08T02:10:16Z,-2.799788335277778,Vue,1032,954,856,16
junegunn/fzf,2013-10-23T16:04:23Z,113,2023-03-08T00:52:03Z,-1.4961772241666667,Go,365,2337,2083,25
sindresorhus/awesome-nodejs,2014-07-11T13:35:34Z,104,2023-03-08T02:07:22Z,-2.7514550019444446,None,393,97,97,0
3b1b/manim,2015-03-22T18:50:58Z,96,2023-03-08T00:15:47Z,-0.8917327797222222,Python,562,1046,696,10
scutan90/DeepLearning-500-questions,2018-06-27T06:36:45Z,57,2023-03-08T02:20:16Z,-2.9664550019444444,JavaScript,302,181,80,0
syncthing/syncthing,2013-11-26T09:48:21Z,112,2023-03-08T01:33:52Z,-2.193121668611111,Go,2286,5079,4734,327
necolas/normalize.css,2011-05-04T10:20:25Z,142,2023-03-08T02:11:03Z,-2.8128438908333333,CSS,56,498,455,0
remix-run/react-router,2014-05-16T22:22:51Z,106,2023-03-07T19:13:40Z,4.143544998055556,TypeScript,1771,6898,6838,243
tesseract-ocr/tesseract,2014-08-12T18:04:59Z,103,2023-03-08T02:07:56Z,-2.7608994463888887,C++,1307,2472,2099,24
psf/requests,2011-02-13T18:38:17Z,145,2023-03-08T01:48:57Z,-2.4445105575,Python,1469,3728,3527,5
MunGell/awesome-for-beginners,2015-10-24T19:53:36Z,89,2023-03-08T02:22:26Z,-3.0025661130555554,None,334,120,109,0
ionic-team/ionic-framework,2013-08-20T23:06:02Z,115,2023-03-08T01:18:36Z,-1.9386772241666665,TypeScript,4337,20634,20163,563
bradtraversy/design-resources-for-developers,2020-05-06T14:40:35Z,34,2023-03-08T00:00:39Z,-0.6395105575,None,819,83,83,0
microsoft/playwright,2019-11-15T18:32:42Z,40,2023-03-07T23:04:50Z,0.2907672202777778,TypeScript,9838,9017,8305,95
google/material-design-icons,2014-10-08T18:01:28Z,101,2023-03-08T01:51:45Z,-2.4911772241666665,None,40,1228,1022,16
ageitgey/face_recognition,2017-03-03T21:52:39Z,72,2023-03-08T02:15:53Z,-2.893399446388889,Python,94,1253,572,2
fighting41love/funNLP,2018-08-21T11:20:39Z,55,2023-03-08T01:40:57Z,-2.311177224166667,Python,11,55,44,0
moment/moment,2011-03-01T02:46:06Z,144,2023-03-08T01:18:31Z,-1.9372883352777777,JavaScript,712,4034,3832,0
prometheus/prometheus,2012-11-24T11:14:12Z,124,2023-03-08T01:47:20Z,-2.4175661130555555,Go,5115,4978,4391,248
Fndroid/clash_for_windows_pkg,2018-10-18T22:59:10Z,53,2023-03-08T02:22:43Z,-3.007288335277778,None,7,3818,3623,191
google/guava,2014-05-29T16:23:17Z,106,2023-03-08T02:01:08Z,-2.6475661130555554,Java,368,3423,2767,35
jgthms/bulma,2016-01-23T23:48:34Z,86,2023-03-08T01:42:53Z,-2.3433994463888888,CSS,601,2453,2271,17
ReactiveX/RxJava,2013-01-08T20:11:48Z,122,2023-03-08T01:34:18Z,-2.2003438908333335,Java,3123,3118,3104,231
soimort/you-get,2012-08-20T15:53:36Z,127,2023-03-07T06:33:20Z,16.815767220277777,Python,570,0,0,118
supabase/supabase,2019-10-12T05:56:49Z,41,2023-03-08T02:00:51Z,-2.6428438908333334,TypeScript,4251,1976,1798,24
scrapy/scrapy,2010-02-22T02:01:14Z,157,2023-03-08T02:21:17Z,-2.983399446388889,Python,1929,2772,2283,31
jekyll/jekyll,2008-10-20T06:29:03Z,173,2023-03-07T17:58:47Z,5.391600553611111,Ruby,3073,4665,4576,107
caddyserver/caddy,2015-01-13T19:45:03Z,98,2023-03-07T19:42:21Z,3.6654894425,Go,1552,3346,3269,103
localstack/localstack,2016-10-25T23:48:03Z,77,2023-03-07T20:37:05Z,2.753267220277778,Python,3128,4273,3975,60
ventoy/Ventoy,2020-03-10T15:19:19Z,36,2023-03-08T02:15:13Z,-2.882288335277778,C,237,1720,1338,87
obsproject/obs-studio,2013-10-01T02:40:31Z,113,2023-03-08T02:12:59Z,-2.8450661130555557,C,3477,2910,2511,175
prakhar1989/awesome-courses,2014-11-15T18:36:49Z,100,2023-03-08T00:17:58Z,-0.9281216686111111,None,194,67,38,0
ocornut/imgui,2014-07-21T14:29:47Z,104,2023-03-08T01:38:16Z,-2.2664550019444443,C++,298,4651,3941,83
swisskyrepo/PayloadsAllTheThings,2016-10-18T07:29:07Z,77,2023-03-08T02:14:02Z,-2.8625661130555557,Python,455,0,0,2
Solido/awesome-flutter,2017-05-07T11:45:27Z,70,2023-03-08T01:07:58Z,-1.7614550019444444,Dart,419,0,0,0
wasabeef/awesome-android-ui,2014-12-24T01:45:03Z,99,2023-03-08T00:52:32Z,-1.5042327797222221,None,90,102,92,0
