nameWithOwner,createdAt,age,updatedAt,timeSinceLastUpdate,primaryLanguage,pullRequests,issues,closedIssues,closedIssuesRate,releases
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,57,2023-03-08T18:59:56Z,-2.6008819880555554,None,122,0,0,0,0
mrdoob/three.js,2010-03-23T18:58:01Z,156,2023-03-08T18:32:06Z,-2.1369930991666664,JavaScript,10565,11608,11245,0.9687284631288766,142
microsoft/TypeScript,2014-06-17T15:28:39Z,105,2023-03-08T19:11:23Z,-2.791715321388889,TypeScript,12723,36358,30526,0.8395951372462732,168
denoland/deno,2018-05-15T01:34:26Z,58,2023-03-08T19:18:21Z,-2.9078264325,Rust,7848,7415,6267,0.8451786918408631,215
microsoft/terminal,2017-08-11T18:38:22Z,67,2023-03-08T18:23:12Z,-1.9886597658333331,C++,3053,11055,9544,0.8633197648123021,89
microsoft/PowerToys,2019-05-01T17:44:02Z,46,2023-03-08T18:49:09Z,-2.421159765833333,C#,3817,20305,15729,0.7746367889682344,77
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,80,2023-03-08T19:12:40Z,-2.813104210277778,TypeScript,429,69,54,0.782608695652174,0
goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,66,2023-03-08T19:11:28Z,-2.793104210277778,JavaScript,745,300,279,0.93,0
angular/angular,2014-09-18T16:12:01Z,102,2023-03-08T19:16:47Z,-2.8817153213888886,TypeScript,3326,24953,23756,0.9520298160541819,251
mui/material-ui,2014-08-18T19:11:54Z,103,2023-03-08T19:11:29Z,-2.7933819880555553,JavaScript,15085,17041,15858,0.9305791913620093,398
ant-design/ant-design,2015-04-24T15:37:24Z,95,2023-03-08T19:12:30Z,-2.8103264324999997,TypeScript,10616,26035,25129,0.9652006913769925,564
huggingface/transformers,2018-10-29T13:56:00Z,53,2023-03-08T18:57:13Z,-2.5556042102777776,Python,8798,11020,10592,0.9611615245009074,108
puppeteer/puppeteer,2017-05-09T22:16:13Z,70,2023-03-08T18:25:38Z,-2.0292153213888886,TypeScript,3017,5862,5612,0.957352439440464,180
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,71,2023-03-08T19:22:58Z,-2.9847708769444443,Vue,313,3510,2333,0.6646723646723647,49
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,76,2023-03-08T19:11:34Z,-2.7947708769444444,JavaScript,149,135,81,0.6,0
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,103,2023-03-08T19:08:42Z,-2.7469930991666667,Java,1069,845,659,0.7798816568047338,0
rust-lang/rust,2010-06-16T20:39:03Z,153,2023-03-08T18:51:14Z,-2.4558819880555554,Rust,46163,47465,38637,0.8140103233961866,108
Genymobile/scrcpy,2017-11-21T18:00:27Z,64,2023-03-08T19:20:40Z,-2.946437543611111,C,64,3390,2164,0.6383480825958702,29
animate-css/animate.css,2011-10-12T10:07:38Z,137,2023-03-08T18:28:11Z,-2.0717153213888886,CSS,313,842,819,0.9726840855106889,22
storybookjs/storybook,2016-03-18T04:23:44Z,84,2023-03-08T19:19:14Z,-2.922548654722222,TypeScript,7924,10255,8315,0.810823988298391,1000
nvbn/thefuck,2015-04-08T15:08:04Z,95,2023-03-08T18:13:41Z,-1.8300486547222221,Python,478,664,453,0.6822289156626506,17
tensorflow/models,2016-02-05T01:15:20Z,85,2023-03-08T14:50:01Z,1.5643957897222223,Jupyter Notebook,2293,7078,6023,0.8509465950833569,29
gothinkster/realworld,2016-02-26T20:49:53Z,85,2023-03-08T18:57:31Z,-2.5606042102777775,TypeScript,323,509,459,0.9017681728880157,0
laravel/laravel,2011-06-08T03:06:08Z,141,2023-03-08T17:54:36Z,-1.5119930991666666,PHP,1492,0,0,0,135
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,51,2023-03-08T17:12:55Z,-0.8172708769444444,Java,63,58,42,0.7241379310344828,0
FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,133,2023-03-08T17:38:39Z,-1.2461597658333332,JavaScript,196,18759,13448,0.7168825630364092,50
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,111,2023-03-08T19:20:21Z,-2.941159765833333,Shell,415,191,172,0.900523560209424,0
mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,67,2023-03-08T16:55:57Z,-0.5344930991666667,None,98,42,18,0.42857142857142855,0
django/django,2012-04-28T02:47:18Z,131,2023-03-08T18:29:27Z,-2.0928264325,Python,8010,0,0,0,0
tonsky/FiraCode,2014-11-11T19:32:38Z,100,2023-03-08T18:47:43Z,-2.3972708769444444,Clojure,126,1259,906,0.7196187450357426,29
doocs/advanced-java,2018-10-06T11:38:30Z,53,2023-03-08T17:25:10Z,-1.0214375436111112,Java,75,139,137,0.9856115107913669,1
bitcoin/bitcoin,2010-12-19T15:16:43Z,147,2023-03-08T18:27:56Z,-2.067548654722222,C++,12713,7334,6943,0.9466866648486502,40
vuejs/awesome-vue,2015-10-20T00:16:14Z,89,2023-03-08T19:03:11Z,-2.655048654722222,None,3386,211,181,0.8578199052132701,0
microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,28,2023-03-08T19:11:51Z,-2.7994930991666664,JavaScript,439,226,217,0.9601769911504425,0
ripienaar/free-for-dev,2015-03-18T21:06:26Z,96,2023-03-08T18:26:57Z,-2.0511597658333334,HTML,2127,0,0,0,0
opencv/opencv,2012-07-19T09:40:17Z,128,2023-03-08T18:45:58Z,-2.3681042102777776,C++,11028,9530,7176,0.75299055613851,55
gin-gonic/gin,2014-06-16T23:57:25Z,105,2023-03-08T18:37:06Z,-2.2203264325,Go,923,1993,1501,0.7531359759157049,24
sveltejs/svelte,2016-11-20T18:13:05Z,76,2023-03-08T19:19:48Z,-2.9319930991666667,TypeScript,2563,4887,4126,0.844280744833231,0
spring-projects/spring-boot,2012-10-19T15:02:57Z,125,2023-03-08T14:46:36Z,1.6213402341666667,Java,41,28585,28017,0.9801294385167045,163
typicode/json-server,2013-11-27T13:21:13Z,112,2023-03-08T17:27:06Z,-1.0536597658333333,JavaScript,108,1036,467,0.45077220077220076,12
gohugoio/hugo,2013-07-04T15:26:26Z,116,2023-03-08T19:18:33Z,-2.9111597658333332,Go,1916,6382,5738,0.8990911939830774,217
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,65,2023-03-08T19:21:57Z,-2.9678264325,HTML,1684,2748,2744,0.9985443959243085,209
